read_name	start	end	element	mapq	strand	element_len	read_len	num_of_units	ref	ref_start	ref_end
4q_hap2	90376	90382	XapI	*	*	6	132926	97	*	*	*
4q_hap2	91819	91908	DUX4	34	+	89	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	91901	95217	D4Z4_unit	60	+	3316	132926	28	D4Z4_KpnI	0	3296
4q_hap2	92327	92333	BlnI	*	*	6	132926	15	*	*	*
4q_hap2	93620	95002	DUX4	60	+	1382	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	93693	93699	XapI	*	*	6	132926	97	*	*	*
4q_hap2	95135	95224	DUX4	8	+	89	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	95217	98514	D4Z4_unit	60	+	3297	132926	28	D4Z4_KpnI	0	3296
4q_hap2	96924	98293	DUX4	60	+	1369	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	96997	97003	XapI	*	*	6	132926	97	*	*	*
4q_hap2	98431	98521	DUX4	35	+	90	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	98517	101795	D4Z4_unit	60	+	3278	132926	28	D4Z4_KpnI	3	3296
4q_hap2	100191	101569	DUX4	60	+	1378	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	100263	100269	XapI	*	*	6	132926	97	*	*	*
4q_hap2	101709	101802	DUX4	42	+	93	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	101795	105085	D4Z4_unit	60	+	3290	132926	28	D4Z4_KpnI	0	3292
4q_hap2	103499	104867	DUX4	60	+	1368	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1376
4q_hap2	103572	103578	XapI	*	*	6	132926	97	*	*	*
4q_hap2	105004	105095	DUX4	60	+	91	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	105088	105411	D4Z4_unit	60	+	323	132926	28	D4Z4_KpnI	0	325
4q_hap2	105424	105656	pLAM	60	+	232	132926	1	pLAM	0	229
4q_hap2	105456	105657	DUX4	60	+	201	132926	51	DUX4_mRNA_genbankAF117653.3_exon3	0	198
4q_hap1	166284	172132	B_specific	60	-	5848	199703	1	4qB_down	0	5852
4q_hap1	81161	81167	XapI	*	*	6	199703	392	*	*	*
4q_hap1	80692	82264	D4Z4_unit	60	-	1572	199703	15	D4Z4_KpnI	1680	3296
4q_hap1	80895	82249	DUX4	60	-	1354	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1367
4q_hap1	123978	124799	p13E-11	60	+	821	199703	1	p13E11	0	820
4q_hap1	124909	125827	D4Z4_unit	60	+	918	199703	15	D4Z4_KpnI	2380	3296
4q_hap1	124910	125606	DUX4	60	+	696	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	686	1380
4q_hap1	125742	125834	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	125827	129127	D4Z4_unit	60	+	3300	199703	15	D4Z4_KpnI	0	3296
4q_hap1	127521	128906	DUX4	60	+	1385	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	127594	127600	XapI	*	*	6	199703	392	*	*	*
4q_hap1	129042	129134	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	129127	132412	D4Z4_unit	60	+	3285	199703	15	D4Z4_KpnI	0	3296
4q_hap1	130812	132191	DUX4	60	+	1379	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	130885	130891	XapI	*	*	6	199703	392	*	*	*
4q_hap1	132327	132419	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	132412	135736	D4Z4_unit	60	+	3324	199703	15	D4Z4_KpnI	0	3296
4q_hap1	134140	135514	DUX4	60	+	1374	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	134213	134219	XapI	*	*	6	199703	392	*	*	*
4q_hap1	135651	135743	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	135736	139027	D4Z4_unit	60	+	3291	199703	15	D4Z4_KpnI	0	3296
4q_hap1	137432	138806	DUX4	60	+	1374	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	137505	137511	XapI	*	*	6	199703	392	*	*	*
4q_hap1	138942	139034	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	139027	142353	D4Z4_unit	60	+	3326	199703	15	D4Z4_KpnI	0	3296
4q_hap1	140757	142132	DUX4	60	+	1375	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	140830	140836	XapI	*	*	6	199703	392	*	*	*
4q_hap1	142268	142360	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	142353	145659	D4Z4_unit	60	+	3306	199703	15	D4Z4_KpnI	0	3296
4q_hap1	144055	145438	DUX4	60	+	1383	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	144128	144134	XapI	*	*	6	199703	392	*	*	*
4q_hap1	145574	145666	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	145659	148984	D4Z4_unit	60	+	3325	199703	15	D4Z4_KpnI	0	3296
4q_hap1	147389	148763	DUX4	60	+	1374	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	147462	147468	XapI	*	*	6	199703	392	*	*	*
4q_hap1	148899	148991	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	148984	152308	D4Z4_unit	60	+	3324	199703	15	D4Z4_KpnI	0	3296
4q_hap1	150706	152087	DUX4	60	+	1381	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	150779	150785	XapI	*	*	6	199703	392	*	*	*
4q_hap1	152223	152315	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	152308	155638	D4Z4_unit	60	+	3330	199703	15	D4Z4_KpnI	0	3296
4q_hap1	154035	155417	DUX4	60	+	1382	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	154108	154114	XapI	*	*	6	199703	392	*	*	*
4q_hap1	155553	155645	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	155638	158931	D4Z4_unit	60	+	3293	199703	15	D4Z4_KpnI	0	3296
4q_hap1	157330	158710	DUX4	60	+	1380	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	157403	157409	XapI	*	*	6	199703	392	*	*	*
4q_hap1	158846	158938	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	158931	162229	D4Z4_unit	60	+	3298	199703	15	D4Z4_KpnI	0	3296
4q_hap1	160627	162007	DUX4	60	+	1380	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	160700	160706	XapI	*	*	6	199703	392	*	*	*
4q_hap1	162144	162236	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	162229	165527	D4Z4_unit	60	+	3298	199703	15	D4Z4_KpnI	0	3296
4q_hap1	163928	165305	DUX4	60	+	1377	199703	27	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap1	164001	164007	XapI	*	*	6	199703	392	*	*	*
4q_hap1	165442	165534	DUX4	60	+	92	199703	27	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap1	165527	166283	D4Z4_unit	60	+	756	199703	15	D4Z4_KpnI	0	750
10q_hap2	63723	64546	p13E-11	60	+	823	179411	1	p13E11	0	820
10q_hap2	64656	65565	D4Z4_unit	60	+	909	179411	26	D4Z4_KpnI	2380	3296
10q_hap2	64657	65347	DUX4	60	+	690	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	686	1380
10q_hap2	65482	65488	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	65483	65572	DUX4	41	+	89	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	65565	68855	D4Z4_unit	60	+	3290	179411	26	D4Z4_KpnI	0	3296
10q_hap2	67264	68638	DUX4	60	+	1374	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	68770	68776	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	68771	68862	DUX4	10	+	91	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	68855	72133	D4Z4_unit	60	+	3278	179411	26	D4Z4_KpnI	0	3296
10q_hap2	70552	71915	DUX4	60	+	1363	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	70888	70894	XapI	*	*	6	179411	174	*	*	*
10q_hap2	72049	72055	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	72050	72140	DUX4	19	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	72133	75434	D4Z4_unit	60	+	3301	179411	26	D4Z4_KpnI	0	3296
10q_hap2	72165	72171	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	73843	75219	DUX4	60	+	1376	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	75355	75361	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	75356	75441	DUX4	1	+	85	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	75434	78708	D4Z4_unit	60	+	3274	179411	26	D4Z4_KpnI	0	3296
10q_hap2	77127	78491	DUX4	60	+	1364	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	78624	78630	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	78708	81996	D4Z4_unit	60	+	3288	179411	26	D4Z4_KpnI	0	3296
10q_hap2	80415	81777	DUX4	60	+	1362	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	81912	81918	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	81913	82003	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	81996	85281	D4Z4_unit	60	+	3285	179411	26	D4Z4_KpnI	0	3296
10q_hap2	83705	85061	DUX4	60	+	1356	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	85194	85200	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	85195	85288	DUX4	21	+	93	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	85281	88560	D4Z4_unit	60	+	3279	179411	26	D4Z4_KpnI	0	3296
10q_hap2	87005	88351	DUX4	60	+	1346	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	88476	88482	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	88477	88567	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	88560	91846	D4Z4_unit	60	+	3286	179411	26	D4Z4_KpnI	0	3282
10q_hap2	90264	91631	DUX4	60	+	1367	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	91865	95166	D4Z4_unit	60	+	3301	179411	26	D4Z4_KpnI	8	3296
10q_hap2	93577	94950	DUX4	60	+	1373	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	95086	95173	DUX4	49	+	87	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	5	92
10q_hap2	95166	98457	D4Z4_unit	60	+	3291	179411	26	D4Z4_KpnI	0	3296
10q_hap2	96866	98229	DUX4	60	+	1363	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	98371	98377	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	98372	98464	DUX4	22	+	92	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	98457	101743	D4Z4_unit	60	+	3286	179411	26	D4Z4_KpnI	0	3292
10q_hap2	100156	101516	DUX4	60	+	1360	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1367
10q_hap2	101662	101668	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	101746	105043	D4Z4_unit	60	+	3297	179411	26	D4Z4_KpnI	0	3296
10q_hap2	103470	104823	DUX4	60	+	1353	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	104959	104965	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	104960	105047	DUX4	32	+	87	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	89
10q_hap2	105046	108349	D4Z4_unit	60	+	3303	179411	26	D4Z4_KpnI	2	3296
10q_hap2	106757	108123	DUX4	60	+	1366	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	108263	108269	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	108264	108356	DUX4	32	+	92	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	108349	111646	D4Z4_unit	60	+	3297	179411	26	D4Z4_KpnI	0	3296
10q_hap2	110062	111426	DUX4	60	+	1364	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	111562	111568	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	111563	111653	DUX4	46	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	111646	114949	D4Z4_unit	60	+	3303	179411	26	D4Z4_KpnI	0	3296
10q_hap2	113366	114724	DUX4	60	+	1358	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	114865	114871	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	114866	114956	DUX4	22	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	114949	118232	D4Z4_unit	60	+	3283	179411	26	D4Z4_KpnI	0	3293
10q_hap2	116647	118016	DUX4	60	+	1369	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	118152	118158	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	118153	118242	DUX4	39	+	89	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	118235	121524	D4Z4_unit	60	+	3289	179411	26	D4Z4_KpnI	0	3296
10q_hap2	119948	121304	DUX4	60	+	1356	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	121440	121446	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	121441	121531	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	121524	124829	D4Z4_unit	60	+	3305	179411	26	D4Z4_KpnI	0	3296
10q_hap2	123237	124606	DUX4	60	+	1369	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	124745	124751	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	124746	124836	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	124829	128152	D4Z4_unit	60	+	3323	179411	26	D4Z4_KpnI	0	3296
10q_hap2	126543	127927	DUX4	60	+	1384	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	127812	127818	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	128068	128074	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	128069	128159	DUX4	22	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	128157	131462	D4Z4_unit	60	+	3305	179411	26	D4Z4_KpnI	8	3296
10q_hap2	129877	131241	DUX4	60	+	1364	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	131378	131384	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	131379	131469	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	131462	134738	D4Z4_unit	60	+	3276	179411	26	D4Z4_KpnI	0	3296
10q_hap2	131878	131884	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	133161	134519	DUX4	60	+	1358	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	134654	134660	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	134655	134745	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	134738	138028	D4Z4_unit	60	+	3290	179411	26	D4Z4_KpnI	0	3296
10q_hap2	136438	137803	DUX4	60	+	1365	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	137942	137948	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	137943	138035	DUX4	22	+	92	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	138028	141320	D4Z4_unit	60	+	3292	179411	26	D4Z4_KpnI	0	3296
10q_hap2	139729	141097	DUX4	60	+	1368	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	141233	141239	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	141234	141327	DUX4	44	+	93	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	141320	144608	D4Z4_unit	60	+	3288	179411	26	D4Z4_KpnI	0	3296
10q_hap2	143029	144386	DUX4	60	+	1357	179411	48	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap2	144524	144530	BlnI	*	*	6	179411	48	*	*	*
10q_hap2	144525	144615	DUX4	49	+	90	179411	48	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap2	144608	144932	D4Z4_unit	60	+	324	179411	26	D4Z4_KpnI	0	322
10q_hap2	144949	145176	pLAM	60	+	227	179411	1	pLAM	0	229
10q_hap2	144981	145177	DUX4	60	+	196	179411	48	DUX4_mRNA_genbankAF117653.3_exon3	0	198
10q_hap2	145140	145151	PAS_10qA	*	*	11	179411	1	*	*	*
10q_hap1	136839	137659	p13E-11	60	+	820	242304	1	p13E11	0	820
10q_hap1	137769	138683	D4Z4_unit	60	+	914	242304	23	D4Z4_KpnI	2380	3296
10q_hap1	137770	138461	DUX4	60	+	691	242304	45	DUX4_mRNA_genbankAF117653.3_exon1	686	1380
10q_hap1	138599	138605	BlnI	*	*	6	242304	65	*	*	*
10q_hap1	138600	138690	DUX4	49	+	90	242304	45	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap1	138683	141973	D4Z4_unit	60	+	3290	242304	23	D4Z4_KpnI	0	3296
10q_hap1	140377	141752	DUX4	60	+	1375	242304	45	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
10q_hap1	141889	141895	BlnI	*	*	6	242304	65	*	*	*
10q_hap1	141890	141980	DUX4	49	+	90	242304	45	DUX4_mRNA_genbankAF117653.3_exon2	2	92
10q_hap1	141973	145270	D4Z4_unit	60	+	3297	242304	23	D4Z4_KpnI	0	3296
